iter	Logloss
0	0.6195248002
1	0.5585752447
2	0.5187377389
3	0.4858533169
4	0.4604866623
5	0.4473378066
6	0.430090424
7	0.415153801
8	0.4051597541
9	0.3957667249
10	0.3865959763
11	0.3795062126
12	0.3748182473
13	0.3720588955
14	0.3671486496
15	0.3633870334
16	0.361167042
17	0.3576877675
18	0.3554315229
19	0.3516064908
20	0.3492451661
21	0.3462001719
22	0.3448990085
23	0.3427638331
24	0.3410093159
25	0.3396551795
26	0.3379130533227	0.3366150011228	0.3351212901
29	0.3340107803
30	0.3324167779331	0.3316951238
32	0.3299440966
33	0.3292993316
34	0.3279848031
35	0.3269949568
36	0.326152531
37	0.3254546037
38	0.3246812753
39	0.3237898265
40	0.3232235198
41	0.3223746009
42	0.3220056033
43	0.3214871021
44	0.3204179858
45	0.3199301645
46	0.3193303101
47	0.3189044709
48	0.3181932057
49	0.3176976197
50	0.3173669856
51	0.3168798136
52	0.3164891182
53	0.3160889267
54	0.3156320017
55	0.3152442553
56	0.3148331338
57	0.3145088575
58	0.3141194337
59	0.3136106451
60	0.3132981916
61	0.3129017607
62	0.3125132026
63	0.3120021685
64	0.3115490582
65	0.3110100225
66	0.3105656509
67	0.3098126134
68	0.3096343237
69	0.3093979206
70	0.3092268815
71	0.3084289334
72	0.3081379072
73	0.3077158285
74	0.3072032252
75	0.3070027236
76	0.3066400027
77	0.3064513511
78	0.3061819956
79	0.3060191269
80	0.3058418112
81	0.3056674714
82	0.3052272391
83	0.304997762
84	0.3048128169
85	0.3045366707
86	0.3038939889
87	0.3035955226
88	0.3033919639
89	0.3032904551
90	0.303067417
91	0.3027414633
92	0.3024541436
93	0.3022264251
94	0.3020503267
95	0.3016353634
96	0.3014500395
97	0.3012803801
98	0.3009710109
99	0.3005506908
100	0.3003541662
101	0.3001685717
102	0.2999910395
103	0.2994962652
104	0.2993778202
105	0.2991024856
106	0.2988638912
107	0.2983901112
108	0.2981451589
109	0.2979709274
110	0.2977671522
111	0.2972745422
112	0.2969188825
113	0.2965499661
114	0.2964074155
115	0.2962588317
116	0.2960752663
117	0.2958782007
118	0.2957396812
119	0.2955594705
120	0.2950902087
121	0.2947844377
122	0.2945628876
123	0.2940524487
124	0.2939098439
125	0.2936692475
126	0.2934950429
127	0.2932456537
128	0.2931371107
129	0.2929819797
130	0.292796304
131	0.2926662256
132	0.292567314
133	0.2924506275
134	0.292128245
135	0.291978552
136	0.2918583755
137	0.2915200849
138	0.2913936317
139	0.2912568978
140	0.2910504713
141	0.2908452893
142	0.2904930656
143	0.2902909407
144	0.2901974401
145	0.2900190421
146	0.2899056834
147	0.2898397513
148	0.2897288546
149	0.2896449042
150	0.2895117685
151	0.2892478239
152	0.2891524024
153	0.2889954046
154	0.28880042221155	0.28869407061156	0.28849538171157	0.28840323371158	0.28827456215159	0.28814437160160	0.28796889161161	0.28776382162162	0.2875841516163	0.2874511827
164	0.2872951859
165	0.2869769698
166	0.2867155413
167	0.286474025
168	0.2863481129
169	0.28632249217170	0.286244171	0171	0.286225258
172	0.2860962617
173	0.2860514323
174	0.2858693175	175	0.2857164176	176	0.2856931177	177	0.2854601178	178	0.2853336199
179	0.2852605725
180	0.2851553031
181	0.2850688366
182	0.2850086402
183	0.2846958079
184	0.2845830173
185	0.2844792359
186	0.2843449369
187	0.2842388018
188	0.2841174078
189	0.2840008296
190	0.2838979951
191	0.2837985695
192	0.2836513113
193	0.2835509118
194	0.2833809819
195	0.2832664869
196	0.2831702266
197	0.283079702
198	0.2829847945
199	0.2828757645
200	0.2827895144
201	0.2826501562
202	0.282203	0.2203	0.2822204	0.2204	0.2821205	0.2205	0.2820206	0.2206	0.281207	0.27207	0.281208	0.27208	0.281209	0.2793636457
210	0.2792006959
211	0.2790671274
212	0.2789171909
213	0.2787880323
214	0.214	0.28102215	0.2786728338
216	0.2785679702
217	0.2784823966
218	0.2784093221
219	0.2783258587
220	0.2782339542
221	0.2780019882
222	0.277741723
223	0.2776372382
224	0.277523636
225	0.2774222895
226	0.2773555458
227	0.2772924004
228	0.2772382642
229	0.2771389467
230	0.2770420372
231	0.2769531629
232	0.2768837679
233	0.276729692
