iter	Logloss
234	0.2766730396
235	0.2765841924
236	0.276360992
237	0.2762909747
238	0.2761371153
239	0.2760192655
240	0.2759404825
241	0.275844601
242	0.2757655205
243	0.2756779448
244	0.2754596954
245	0.2753489068
246	0.2752719906
247	0.2751858488
248	0.2751708876
249	0.2751287095
250	0.2750473293
251	0.2749007205
252	0.2748335169
253	0.2747370943
254	0.2747237293
255	0.2745721695
256	0.2745596162
257	0.2744809956
258	0.2743365511
259	0.2742603654
260	0.2740860797
261	0.2739932283
262	0.2738842254
263	0.273554484
264	0.2734821671
265	0.2734096879
266	0.2733260351
267	0.273207563
268	0.2730035985
269	0.272936476
270	0.2728393501
271	0.2727990117
272	0.2726416081
273	0.2725230007
274	0.2724571499
275	0.2723196314
276	0.2722329214
277	0.27216285
278	0.2720409961
279	0.2719589937
280	0.2719480366
281	0.2718392771
282	0.2717699091
283	0.2715560967
284	0.2714981187
285	0.271487865
286	0.2714044557
287	0.271301026
288	0.2712041165
289	0.2711558511
290	0.2710243387
291	0.2708698029
292	0.2707818755
293	0.2706850201
294	0.2705902749
295	0.2705231254
296	0.2704272169
297	0.2703566044
298	0.2702826101
299	0.2702098873
300	0.2701429272
301	0.2700221014
302	0.2699534639
303	0.2698508729
304	0.2697935172
305	0.269705211
306	0.2696404694
307	0.2695688559
308	0.2694605293
309	0.2693373497
310	0.269253724
311	0.2691951238
312	0.2690879876
313	0.2690031985
314	0.2688531267
315	0.2687516179
316	0.268667938
317	0.268603007
318	0.2685437033
319	0.2684962496
320	0.2684152752
321	0.2682805433
322	0.2682260283
323	0.2681692137
324	0.2680550974
325	0.2680099163
326	0.268000393
327	0.2679185259
328	0.2678320594
329	0.2678233478
330	0.2677232999
331	0.2675975502
332	0.2674788347
333	0.267418043
334	0.2673084178
335	0.2672552285
336	0.2671997124
337	0.2671919207
338	0.2671134083
339	0.2670308106
340	0.2669660961
341	0.2669228899
342	0.2668567955
343	0.2667855878
344	0.2667230376
345	0.2666744476
346	0.2665980454
347	0.2665291644
348	0.2664445377
349	0.2664038476
350	0.266320817
351	0.2662427104
352	0.2661494262
353	0.2660956958
354	0.2659805785
355	0.2659030941
356	0.2658365128
357	0.2656854941
358	0.2656095248
359	0.2655263049
360	0.2654859665
361	0.2653938185
362	0.2653678191
363	0.2651324441
364	0.2650678648
365	0.26506102
366	0.2649659502
367	0.2649065383
368	0.2648303526
369	0.2646605038
370	0.2645795836
371	0.2645484978
372	0.26453388373373	0.26445572374374	0.26440107375375	0.26431582376376	0.2641980327
377	0.2641207648
378	0.2639758604
379	0.2638941826
380	0.2637925385
381	0.2637438943
382	0.2636963594
383	0.2636373533
384	0.2635302172
385	0.263435472
386	0.2633638585
387	0.2632885115
388	0.2632664349
389	0.2631684973
390	0.2631025111
391	0.2630318175
392	0.26296623739393	0.26290506639394	0.26277674639395	0.26247665739396	0.26243953839397	0.26235545239398	0.26230091039399	0.26229498540400	0.26223481640401	0.26215665540402	0.26210544140403	0.26201315840404	0.26194619740405	0.26192003640406	0.2618179862
407	0.2616326623
408	0.2615887797
409	0.2615493883
410	0.2613820827
411	0.2612947505
412	0.26122968441413	0.26112906414414	0.26107890415415	0.26099774416416	0.2609163941417	0.26091011541418	0.26058280841419	0.26051319742420	0.2604432613
421	0.2604374446
422	0.2603751108
423	0.2603177014424	0.26025693644425	0.26018231984426	0.26011866044427	0.25998211584428	0.25996528794429	0.2598602078
430	0.259853336
431	0.2598100216
432	0.2596959324
433	0.2596370075
434	0.2595932061
435	0.259552029
436	0.2595131516
437	0.2594505472
438	0.25943147384439	0.25937658
440	0.2593181962
441	0.2592795081
442	0.2592070559
443	0.2591494026
444	0.2590821449
445	0.2590306059
446	0.2589844508
447	0.2589497668
448	0.2589054513
449	0.2588274259
450	0.2586884194
451	0.2586321459
452	0.2585331531
453	0.2584666259
454	0.2584297775
455	0.258328918
456	0.2582715352
457	0.2582390968
458	0.2582042775
459	0.2581446222
460	0.2580735768
461	0.2580086999
462	0.2579697954
463	0.2579644115
464	0.2579465284
465	0.2579168225
466	0.2578825443
467	0.257786744
468	0.2577090974
469	0.2576589111
470	0.2575899489
471	0.2575508821
472	0.257470043
473	0.2572517395
474	0.2571345931
475	0.2570615728
476	0.2569819241
477	0.2569654749
478	0.2569338481
479	0.2568806858
480	0.2567899447
481	0.2567260147
482	0.256721226
483	0.2566574313
484	0.2565163416
485	0.2564810354
486	0.2564457562
487	0.256394596
488	0.2563277711
489	0.256283591
490	0.256235515
491	0.2561629816
492	0.2560880404
493	0.256006552
494	0.2559384556
495	0.2558917864
496	0.2558331591
497	0.2558289656
498	0.2557987998
499	0.2557396314
2
799638
